	Question
8679	what proof do we have that the universe is expanding and not just clusters moving in different directions?
8680	how accurate is radiocarbon dating?
8681	how does seedless produce get planted and reproduced?
8682	if your cells are always dying and being replaced, how come things like freckles and birth marks don't go away?
8683	storing nuclear waste: why not dilute and put it back where it came from?
8684	why isn't the 'sound' of tinnitus normalized out like other smells and sounds that we become 'deaf' to?
8685	when a person dies of starvation, is there a point of no return where they no longer have the energy required to break down any food they could eat, but are still alive and conscious?
8686	why does coffee make you have to poop?
8687	did the insects with queens (bees, ants, wasps, termites) all evolve from a common ancestor with queens, or is their social organization an example of convergent evolution?
8688	if camera lenses are circular, why do they produce a rectangular image?
8689	when humans smell something "bad", does that stem from social conditioning, or is it our body's natural response to said smell?
8690	what is the derivative of "f(x) = x!" ?
8691	why has bad eyesight not been 'evolved out'?
8692	why do we use pillows now when we sleep? did we need this during the prehistoric/ancient age? what changed?
8693	anthropologywhy do we use pillows now when we sleep? did we need this during the prehistoric/ancient age? what changed?
8694	there's no sound in a vacuum because sounds are vibrations in the air, and in a vacuum there is no air to vibrate. so where does the energy that would go into vibrating the air particles go instead?
8695	if an object takes 60 seconds to heat up in a microwave and i need to cook two of them, do i put the microwave on for 60 seconds or 120 seconds?
8696	what happens inside the digestive system when a lactose intolerant person consumes dairy?
8697	how can i recreate the smell of rain at home?
8698	why does stuff in the universe like to rotate?
8699	how does shaving or not shaving affect long term facial hair growth?
8700	how come we are able to detect planets thousands (millions?) of light years away from us, but we have yet to determine with 100% certainty whether or not there is a ninth planet in our solar system?
8701	what is the fastest theoretical speed a planet (rocky or gas giant) or dwarf planet can rotate without breaking up? also what is the timescale for one rotation in comparison to an earth-standard day?
8702	does our moon have a name in common english?
8703	what happens to fat cells as fat is metabolized?
8704	can a microwave oven interfere with my wifi?
8705	does tire pressure change when they are in motion (rotational)?
8706	how do scientists calculate the age of planets, stars, and galaxies?
8707	homo sapiens originated in africa, so why did europe develop into the world's centre of power throughout most of history, colonizing the rest of the world? why didn't our origin remain as our centre?
8708	what causes teeth to go yellow, and how can the discoloration be safely reversed?
8709	why can't i move my eyes smoothly?
8710	how does the brain differentiate between languages in a bilingual speaker?
8711	if i'm in a noisy room, when i open the window will sound escape and make the room quieter?
